A001ABANO TERME                                       PD35031D3AB
E459LASCARI                                           PA90010U1BU
E461LASINO                                            TN38076E1GV
E462LASNIGO                                           CO22030C4JD
E463LA SPEZIA                                         SP19100G3AA
E464LAS PLASSAS                                       CA09050V1CU
E465LASTEBASSE                                        VI36040D7CE
E466LASTRA A SIGNA                                    FI50055I1BB
E467LATERA                                            VT01010M5BL
E468LATERINA                                          AR52020I2AU
E469LATERZA                                           TA74014R5AJ
E470LA THUILE                                         AO11016B1BX
E471LATIANO                                           BR72022R2AI
E472LATINA                                            LT04100M3AA
E473LATISANA                                          UD33053F6CM
E474LATRONICO                                         PZ85043S1BT
E475LATTARICO                                         CS87010T3CX
E476LAUCO                                             UD33020F6CN
E480LAUREANA CILENTO                                  SA84050Q5CQ
E479LAUREANA DI BORRELLO                              RC89023T1CB
E481LAUREGNO                                          BZ39040E2DD
E481LAUREIN                                           BZ39040E2DD
E482LAURENZANA                                        PZ85014S1BU
E483LAURIA                                            PZ85044S1BV
E484LAURIANO                                          TO10020A1GJ
E485LAURINO                                           SA84057Q5CR
E486LAURITO                                           SA84050Q5CS
E487LAURO                                             AV83023Q2BU
E488LAVAGNA                                           GE16033G1BX
E489LAVAGNO                                           VR37030D6CB
E490LA VALLE AGORDINA                                 BL32020D2BE
E491LA VALLE                                          BZ39030E2DE
E491WENGEN                                            BZ39030E2DE
E492LAVARONE                                          TN38046E1GW
E493LAVELLO                                           PZ85024S1BW
E494LAVENA PONTE TRESA                                VA00000C9EW
E496LAVENO-MOMBELLO                                   VA00000C9EY
E497LAVENONE                                          BS25070C3FM
E498LAVIANO                                           SA84020Q5CT
E500LAVIS                                             TN38015E1GX
E502LAZISE                                            VR37017D6CC
E504LAZZATE                                           MI20020C1JK
E506LECCE                                             LE73100R4AA
E505LECCE NEI MARSI                                   AQ67050N1CE
E509LEFFE                                             BG24026C2GR
E510LEGGIUNO                                          VA21038C9EZ
E512LEGNAGO                                           VR37045D6CD
E514LEGNANO                                           MI20025C1JL
E515LEGNARO                                           PD35020D3BU
E517LEI                                               NU08010V2BQ
E518LEINI                                             TO00000A1GK
E519LEIVI                                             GE16040G1BY
E520LEMIE                                             TO10070A1GL
E522LENDINARA                                         RO45026D4BN
E523LENI                                              ME98050U6BR
E524LENNA                                             BG24010C2GS
E525LENNO                                             CO22016C4JG
E526LENO                                              BS25024C3FN
E527LENOLA                                            LT04025M3AM
E528LENTA                                             VC13035A6DL
E530LENTATE SUL SEVESO                                MI20030C1JM
E531LENTELLA                                          CH66050N2CA
C562LENTIAI                                           BL32020D2AN
E532LENTINI                                           SR96016U8AM
E535LEONESSA                                          RI02016M4BK
E536LEONFORTE                                         EN94013U5AK
E537LEPORANO                                          TA74020R5AK
E538LEQUILE                                           LE73010R4BK
E540LEQUIO BERRIA                                     CN12050A4EP
E539LEQUIO TANARO                                     CN12060A4EN
E541LERCARA FRIDDI                                    PA90025U1BV
E542LERICI                                            SP19032G3AR
E543LERMA                                             AL15070A2EX
E544LESA                                              NO28040A5GG
E546LESEGNO                                           CN12076A4EQ
E547LESIGNANO DE' BAGNI                               PR43037H5AX
E549LESINA                                            FG71010R3BC
E550LESMO                                             MI20050C1JN
E551LESSOLO                                           TO10010A1GM
E553LESTIZZA                                          UD33050F6CP
E554LETINO                                            CE81010Q4CF
E555LETOJANNI                                         ME98037U6BS
E557LETTERE                                           NA80050Q1BR
E558LETTOMANOPPELLO                                   PE65020N3AW
E559LETTOPALENA                                       CH66010N2CB
E560LEVANTO                                           SP19015G3AS
E562LEVATE                                            BG24040C2GT
E563LEVERANO                                          LE73045R4BL
E564LEVICE                                            CN12070A4ER
E565LEVICO TERME                                      TN38056E1HB
E566LEVONE                                            TO10070A1GN
E569LEZZENO                                           CO22085C4JK
E570LIBERI                                            CE81040Q4CG
E571LIBRIZZI                                          ME98064U6BU
E573LICATA                                            AG92027U2AV
E574LICCIANA NARDI                                    MS54016I6AN
E576LICENZA                                           RM00026M1CM
E578LICODIA EUBEA                                     CT95040U4AX
E583LIGNANA                                           VC13030A6DN
E584LIGNANO SABBIADORO                                UD33054F6CQ
E585LIGONCHIO                                         RE42039H8BB
E586LIGOSULLO                                         UD33020F6CR
E587LILLIANES                                         AO11020B1BY
E588LIMANA                                            BL32020D2BF
E589LIMATOLA                                          BN82030Q3BQ
E591LIMBIATE                                          MI20051C1JP
E592LIMENA                                            PD35010D3BV
E593LIMIDO COMASCO                                    CO22070C4JN
E594LIMINA                                            ME98030U6BV
E597LIMONE PIEMONTE                                   CN12015A4ES
E596LIMONE SUL GARDA                                  BS25010C3FQ
E599LIMOSANO                                          CB86022P1BS
E600LINAROLO                                          PV27010C7EY
E602LINGUAGLOSSA                                      CT95015U4AY
E605LIONI                                             AV83047Q2BV
E606LIPARI                                            ME98055U6BW
E607LIPOMO                                            CO22030C4JR
E608LIRIO                                             PV27043C7EZ
E610LISCATE                                           MI20060C1JS
E611LISCIA                                            CH66050N2CC
E613LISCIANO NICCONE                                  PG06060L1BP
E614LISIGNAGO                                         TN38030E1HC
E615LISIO                                             CN12070A4ET
E617LISSONE                                           MI20035C1JT
E620LIVERI                                            NA80030Q1BT
E621LIVIGNO                                           SO23030C8BQ
E622LIVINALLONGO DEL COL DI LANA                      BL00000D2BG
E623LIVO                                              CO00000C4JS
E624LIVO                                              TN00000E1HD
E625LIVORNO                                           LI57100I4AA
E626LIVORNO FERRARIS                                  VC13046A6DP
E629LIZZANELLO                                        LE73023R4BM
E630LIZZANO                                           TA74020R5AL
A771LIZZANO IN BELVEDERE                              BO40042H1AG
E632LOANO                                             SV17025G4BW
E633LOAZZOLO                                          AT14050A3CK
E635LOCANA                                            TO10080A1GP
E639LOCATE DI TRIULZI                                 MI20085C1JV
E640LOCATELLO                                         BG24030C2GW
E638LOCATE VARESINO                                   CO22070C4JT
E644LOCERI                                            NU08040V2BR
E645LOCOROTONDO                                       BA70010R1BC
D976LOCRI                                             RC89044T1BU
E646LOCULI                                            NU08020V2BS
E647LODE'                                             NU08020V2BT
E652LODRINO                                           BS25060C3FS
E654LOGRATO                                           BS25030C3FT
E655LOIANO                                            BO40050H1BM
M275LOIRI PORTO SAN PAOLO                             SS00000V3DQ
E658LOMASO                                            TN38078E1HH
E659LOMAZZO                                           CO22074C4JW
E660LOMBARDORE                                        TO10040A1GQ
E661LOMBRIASCO                                        TO10040A1GR
E662LOMELLO                                           PV27034C7FA
E664LONA LASES                                        TN38040E1HK
E665LONATE CEPPINO                                    VA21050C9FD
E666LONATE POZZOLO                                    VA21015C9FE
E667LONATO                                            BS25017C3FU
E668LONDA                                             FI50060I1BD
E669LONGANO                                           IS86090P2AY
E671LONGARE                                           VI36023D7CF
E672LONGARONE                                         BL32013D2BH
E673LONGHENA                                          BS25030C3FV
E674LONGI                                             ME98070U6BY
E675LONGIANO                                          FO47020H3AT
E677LONGOBARDI                                        CS87030T3CY
E678LONGOBUCCO                                        CS87066T3CZ
E679LONGONE AL SEGRINO                                CO22030C4JX
E681LONGONE SABINO                                    RI02020M4BL
E682LONIGO                                            VI36045D7CG
E683LORANZE'                                          TO10010A1GS
E684LOREGGIA                                          PD35010D3BW
E687LORENZAGO DI CADORE                               BL32040D2BI
E688LORENZANA                                         PI56040I7AY
E689LOREO                                             RO45017D4BP
E690LORETO                                            AN60025K1AW
E691LORETO APRUTINO                                   PE65014N3AX
E692LORIA                                             TV31037D5BP
E693LORO CIUFFENNA                                    AR52024I2AV
E694LORO PICENO                                       MC62020K3AY
E695LORSICA                                           GE16045G1CA
E698LOSINE                                            BS25040C3FW
E700LOTZORAI                                          NU08040V2BV
E704LOVERE                                            BG24065C2GY
E705LOVERO                                            SO23030C8BR
E706LOZIO                                             BS25040C3FY
E707LOZZA                                             VA21040C9FF
E709LOZZO ATESTINO                                    PD35034D3BX
E708LOZZO DI CADORE                                   BL32040D2BJ
E711LOZZOLO                                           VC13060A6DR
E712LU                                                AL15040A2EY
E713LUBRIANO                                          VT01020M5BM
E715LUCCA                                             LU55100I5AA
E714LUCCA SICULA                                      AG92010U2AW
E716LUCERA                                            FG71036R3BD
E718LUCIGNANO                                         AR52046I2AW
E719LUCINASCO                                         IM18023G2CB
E722LUCITO                                            CB86030P1BT
E723LUCO DEI MARSI                                    AQ67056N1CF
E724LUCOLI                                            AQ67045N1CG
E726LUGAGNANO VAL D'ARDA                              PC29018H6BC
E727LUGNACCO                                          TO10080A1GT
E729LUGNANO IN TEVERINA                               TR05020L2AT
E730LUGO                                              RA48022H7AN
E731LUGO DI VICENZA                                   VI36030D7CH
E734LUINO                                             VA21016C9FH
E735LUISAGO                                           CO22070C4KA
E736LULA                                              NU08020V2BW
E737LUMARZO                                           GE16024G1CB
E738LUMEZZANE                                         BS25065C3GA
E742LUNAMATRONA                                       CA09052V1CV
E743LUNANO                                            PS61020K4BE
B387LUNGAVILLA                                        PV27053C7BL
E745LUNGRO                                            CS87010T3DA
E746LUOGOSANO                                         AV83040Q2BW
E747LUOGOSANTO                                        SS07020V3BN
E748LUPARA                                            CB86030P1BU
E749LURAGO D'ERBA                                     CO22040C4KB
E750LURAGO MARINONE                                   CO22070C4KC
E751LURANO                                            BG24050C2GZ
E752LURAS                                             SS07025V3BP
E753LURATE CACCIVIO                                   CO22075C4KD
E754LUSCIANO                                          CE81030Q4CH
E757LUSERNA                                           TN38040E1HN
E758LUSERNA SAN GIOVANNI                              TO00000A1GV
E759LUSERNETTA                                        TO10060A1GW
E760LUSEVERA                                          UD33010F6CS
E761LUSIA                                             RO45020D4BQ
E762LUSIANA                                           VI36046D7CI
E763LUSIGLIE'                                         TO10080A1GX
E764LUSON                                             BZ39040E2DH
E764LUESEN                                            BZ39040E2DH
E767LUSTRA                                            SA84050Q5CV
E769LUVINATE                                          VA21020C9FI
E772LUZZARA                                           RE42045H8BC
E773LUZZI                                             CS87040T3DB
E775MACCAGNO                                          VA21010C9FJ
E778MACCHIA D'ISERNIA                                 IS86070P2AZ
E779MACCHIAGODENA                                     IS86096P2BA
E780MACCHIA VALFORTORE                                CB86040P1BV
E782MACELLO                                           TO10060A1GY
E783MACERATA                                          MC62100K3AA
E784MACERATA CAMPANIA                                 CE81047Q4CJ
E785MACERATA FELTRIA                                  PS61023K4BF
E786MACHERIO                                          MI20050C1KA
E787MACLODIO                                          BS25030C3GE
E788MACOMER                                           NU08015V2BX
E789MACRA                                             CN12020A4EV
E791MADDALONI                                         CE81024Q4CK
E342MADESIMO                                          SO23024C8BN
E793MADIGNANO                                         CR26020C5FB
E794MADONE                                            BG24040C2HB
E798MAENZA                                            LT04010M3AN
E799MAFALDA                                           CB86030P1BW
E800MAGASA                                            BS25080C3GG
E801MAGENTA                                           MI20013C1KB
E803MAGGIORA                                          NO28014A5GP
E804MAGHERNO                                          PV27010C7FB
E805MAGIONE                                           PG06063L1BQ
E806MAGISANO                                          CZ88050T2CU
E809MAGLIANO ALFIERI                                  CN12050A4EX
E808MAGLIANO ALPI                                     CN12060A4EW
E811MAGLIANO DE' MARSI                                AQ67062N1CH
E807MAGLIANO DI TENNA                                 AP63020K2BF
E810MAGLIANO IN TOSCANA                               GR58051I3AM
E813MAGLIANO ROMANO                                   RM00060M1CP
E812MAGLIANO SABINA                                   RI02046M4BN
E814MAGLIANO VETERE                                   SA84050Q5CW
E815MAGLIE                                            LE73024R4BN
E816MAGLIOLO                                          SV17020G4BX
E817MAGLIONE                                          TO10030A1GZ
E818MAGNACAVALLO                                      MN46020C6BG
E819MAGNAGO                                           MI20020C1KC
E820MAGNANO IN RIVIERA                                UD33010F6CT
E825MAGOMADAS                                         NU08019V2BY
E830MAGREGLIO                                         CO22030C4KH
E829MAGRE' SULLA STRADA DEL VINO                      BZ39040E2DJ
E829MARGREID AN DER WEINSTRASSE                       BZ39040E2DJ
E834MAIDA                                             CZ88025T2CV
E835MAIERA'                                           CS87020T3DC
E837MAIOLATI SPONTINI                                 AN60030K1AX
E838MAIOLO                                            PS61010K4BG
E839MAIORI                                            SA84010Q5CX
E841MAIRANO                                           BS25030C3GI
E842MAISSANA                                          SP19010G3AT
E833MAJANO                                            UD00000F6CU
E843MALAGNINO                                         CR26030C5FC
E844MALALBERGO                                        BO40058H1BN
E847MALBORGHETTO-VALBRUNA                             UD00000F6CW
E848MALCESINE                                         VR37018D6CE
E850MALE'                                             TN38027E1HV
E851MALEGNO                                           BS25053C3GJ
E854MALETTO                                           CT95035U4AZ
E855MALFA                                             ME98050U6BZ
E856MALGESSO                                          VA21023C9FL
E859MALITO                                            CS87030T3DD
E860MALLARE                                           SV17040G4BY
E862MALLES VENOSTA                                    BZ39024E2DN
E862MALS                                              BZ39024E2DN
E863MALNATE                                           VA21046C9FM
E864MALO                                              VI36034D7CK
E865MALONNO                                           BS25040C3GK
E866MALOSCO                                           TN38013E1HX
E868MALTIGNANO                                        AP63040K2BG
E869MALVAGNA                                          ME98030U6CA
E870MALVICINO                                         AL15015A2EZ
E872MALVITO                                           CS87010T3DE
E873MAMMOLA                                           RC89045T1CC
E874MAMOIADA                                          NU08024V2BZ
E875MANCIANO                                          GR58014I3AN
E876MANDANICI                                         ME98020U6CB
E877MANDAS                                            CA09042V1CW
E878MANDATORICCIO                                     CS87060T3DF
B632MANDELA                                           RM00020M1AU
E880MANDELLO VITTA                                    NO28060A5GS
E882MANDURIA                                          TA74024R5AM
E883MANERBA DEL GARDA                                 BS25080C3GL
E884MANERBIO                                          BS25025C3GM
E885MANFREDONIA                                       FG71043R3BE
E887MANGO                                             CN12056A4EZ
E888MANGONE                                           CS87050T3DG
M283MANIACE                                           CT95030U4CK
E889MANIAGO                                           PN33085F5BA
E891MANOCALZATI                                       AV83030Q2BX
E892MANOPPELLO                                        PE65024N3AY
E893MANSUE'                                           TV31040D5BQ
E894MANTA                                             CN12030A4FA
E896MANTELLO                                          SO23016C8BS
E897MANTOVA                                           MN46100C6AA
E899MANZANO                                           UD33044F6CX
E900MANZIANA                                          RM00066M1CQ
E901MAPELLO                                           BG24030C2HC
E902MARA                                              SS07010V3BQ
E903MARACALAGONIS                                     CA09040V1CX
E904MARANELLO                                         MO41053H4AU
E906MARANO DI NAPOLI                                  NA80016Q1BV
E911MARANO DI VALPOLICELLA                            VR37020D6CF
E908MARANO EQUO                                       RM00020M1CR
E910MARANO LAGUNARE                                   UD33050F6CY
E914MARANO MARCHESATO                                 CS87040T3DH
E915MARANO PRINCIPATO                                 CS87040T3DI
E905MARANO SUL PANARO                                 MO41054H4AV
E907MARANO TICINO                                     NO28040A5GT
E912MARANO VICENTINO                                  VI36035D7CL
E917MARANZANA                                         AT14040A3CL
E919MARATEA                                           PZ85046S1BX
E921MARCALLO CON CASONE                               MI20010C1KG
E922MARCARIA                                          MN46010C6BH
E923MARCEDUSA                                         CZ88050T2CX
E924MARCELLINA                                        RM00010M1CS
E925MARCELLINARA                                      CZ88040T2CY
E927MARCETELLI                                        RI02020M4BP
E928MARCHENO                                          BS25060C3GN
E929MARCHIROLO                                        VA21030C9FN
E930MARCIANA                                          LI57030I4AK
E931MARCIANA MARINA                                   LI57033I4AL
E932MARCIANISE                                        CE81025Q4CL
E933MARCIANO DELLA CHIANA                             AR52047I2AX
E934MARCIGNAGO                                        PV27020C7FE
E936MARCON                                            VE30020D1BA
E938MAREBBE                                           BZ39030E2DR
E938ENNEBERG                                          BZ39030E2DR
E939MARENE                                            CN12030A4FB
E940MARENO DI PIAVE                                   TV31010D5BR
E941MARENTINO                                         TO10020A1HC
E944MARETTO                                           AT14018A3CM
E945MARGARITA                                         CN12040A4FC
E946MARGHERITA DI SAVOIA                              FG71044R3BF
E949MARIANA MANTOVANA                                 MN46010C6BI
E951MARIANO COMENSE                                   CO22066C4KL
E952MARIANO DEL FRIULI                                GO34070F3CL
E953MARIANOPOLI                                       CL93010U3AI
E954MARIGLIANELLA                                     NA80030Q1BW
E955MARIGLIANO                                        NA80034Q1BX
E956MARINA DI GIOIOSA IONICA                          RC00000T1CD
E957MARINEO                                           PA90035U1BW
E958MARINO                                            RM00047M1CT
E959MARLENGO                                          BZ39020E2DT
E959MARLING                                           BZ39020E2DT
E960MARLIANA                                          PT51010I8AK
E961MARMENTINO                                        BS25060C3GP
E962MARMIROLO                                         MN46045C6BJ
E963MARMORA                                           CN12020A4FD
E965MARNATE                                           VA21050C9FP
E967MARONE                                            BS25054C3GQ
E968MAROPATI                                          RC89020T1CE
E970MAROSTICA                                         VI36063D7CM
E971MARRADI                                           FI50034I1BE
E972MARRUBIU                                          OR09094V4BA
E973MARSAGLIA                                         CN12060A4FE
E974MARSALA                                           TP91025U9AL
E975MARSCIANO                                         PG06055L1BR
E976MARSICO NUOVO                                     PZ00000S1BY
E977MARSICOVETERE                                     PZ85050S1BZ
E978MARTA                                             VT01010M5BN
E979MARTANO                                           LE73025R4BP
E980MARTELLAGO                                        VE30030D1BB
E981MARTELLO                                          BZ39020E2DU
E981MARTELL                                           BZ39020E2DU
E982MARTIGNACCO                                       UD33035F6CZ
E983MARTIGNANA DI PO                                  CR26040C5FD
E984MARTIGNANO                                        LE73020R4BQ
E986MARTINA FRANCA                                    TA74015R5AN
E987MARTINENGO                                        BG24057C2HE
E988MARTINIANA PO                                     CN12030A4FF
E989MARTINSICURO                                      TE64014N4BD
E990MARTIRANO                                         CZ88040T2CZ
E991MARTIRANO LOMBARDO                                CZ88040T2DA
E992MARTIS                                            SS07030V3BR
E993MARTONE                                           RC89040T1CF
E995MARUGGIO                                          TA74020R5AP
B689MARZABOTTO                                        BO40043H1AN
E999MARZANO                                           PV27010C7FF
E998MARZANO APPIO                                     CE81048Q4CM
E997MARZANO DI NOLA                                   AV83020Q2BY
F001MARZI                                             CS87050T3DJ
F002MARZIO                                            VA21030C9FQ
M270MASAINAS                                          CA00000V1IL
F003MASATE                                            MI20060C1KI
F004MASCALI                                           CT95016U4BA
F005MASCALUCIA                                        CT95030U4BB
F006MASCHITO                                          PZ85020S1CA
F007MASCIAGO PRIMO                                    VA21030C9FR
F009MASER                                             TV31010D5BS
F012MASERADA SUL PIAVE                                TV31052D5BT
F011MASERA' DI PADOVA                                 PD35020D3BZ
F013MASI                                              PD35040D3BY
F015MASIO                                             AL15024A2FB
F016MASI TORELLO                                      FE44020H2AM
F017MASLIANICO                                        CO22026C4KN
F020MASONE                                            GE16010G1CF
F019MASON VICENTINO                                   VI36064D7CN
F023MASSA                                             MS54100I6AA
F022MASSA D'ALBE                                      AQ67050N1CI
M289MASSA DI SOMMA                                    NA00000Q1EI
F025MASSA E COZZILE                                   PT51010I8AL
F021MASSA FERMANA                                     AP63020K2BH
F026MASSA FISCAGLIA                                   FE44025H2AN
F027MASSAFRA                                          TA74016R5AQ
F029MASSA LOMBARDA                                    RA48024H7AP
F030MASSA LUBRENSE                                    NA80061Q1BY
F032MASSA MARITTIMA                                   GR58024I3AP
F024MASSA MARTANA                                     PG06056L1BS
F033MASSANZAGO                                        PD35010D3CA
F035MASSAROSA                                         LU55054I5AS
F041MASSELLO                                          TO10060A1HD
F044MASSIGNANO                                        AP63010K2BI
F045MASSIMENO                                         TN38086E1ID
F046MASSIMINO                                         SV12071G4CA
F047MASSINO VISCONTI                                  NO28040A5GV
F050MASULLAS                                          OR09090V4BB
F051MATELICA                                          MC62024K3AZ
F052MATERA                                            MT75100S2AA
F053MATHI                                             TO10075A1HE
F054MATINO                                            LE73046R4BR
F055MATRICE                                           CB86030P1BX
F058MATTIE                                            TO10050A1HF
F059MATTINATA                                         FG71030R3BG
F061MAZARA DEL VALLO                                  TP91026U9AM
F063MAZZANO                                           BS25080C3GR
F064MAZZANO ROMANO                                    RM00060M1CU
F065MAZZARINO                                         CL93013U3AJ
F066MAZZARRA' SANT'ANDREA                             ME00000U6CC
M271MAZZARRONE                                        CT95040U4CJ
F067MAZZE'                                            TO10035A1HG
F068MAZZIN                                            TN38030E1IG
F070MAZZO DI VALTELLINA                               SO23030C8BT
F074MEANA DI SUSA                                     TO10050A1HH
F073MEANA SARDO                                       NU08030V2CA
F078MEDA                                              MI20036C1KM
F080MEDE                                              PV27035C7FG
F081MEDEA                                             GO34070F3CN
F082MEDESANO                                          PR43014H5BA
F083MEDICINA                                          BO40059H1BP
F084MEDIGLIA                                          MI20060C1KN
F086MEDOLE                                            MN46046C6BK
F087MEDOLLA                                           MO41036H4AW
F088MEDUNA DI LIVENZA                                 TV31040D5BU
F089MEDUNO                                            PN33093F5BB
F091MEGLIADINO SAN FIDENZIO                           PD00000D3CB
F092MEGLIADINO SAN VITALE                             PD00000D3CC
F093MEINA                                             NO28046A5GX
F094MEL                                               BL32026D2BK
F095MELARA                                            RO45037D4BS
F096MELAZZO                                           AL15010A2FC
F097MELDOLA                                           FO47014H3AU
F098MELE                                              GE16010G1CG
F100MELEGNANO                                         MI20077C1KQ
F101MELENDUGNO                                        LE73026R4BS
F104MELFI                                             PZ85025S1CB
F105MELICUCCA'                                        RC89020T1CG
F106MELICUCCO                                         RC89020T1CH
F107MELILLI                                           SR96010U8AN
F109MELISSANO                                         LE73040R4BT
F111MELITO DI NAPOLI                                  NA80017Q1CA
F112MELITO DI PORTO SALVO                             RC89063T1CI
F110MELITO IRPINO                                     AV83030Q2BZ
F113MELIZZANO                                         BN82030Q3BS
F114MELLE                                             CN12020A4FG
F115MELLO                                             SO23010C8BU
F117MELPIGNANO                                        LE73020R4BU
F118MELTINA                                           BZ39010E2DW
F118MOELTEN                                           BZ39010E2DW
F119MELZO                                             MI20066C1KS
F120MENAGGIO                                          CO22017C4KP
F121MENAROLA                                          SO23022C8BV
F122MENCONICO                                         PV27050C7FH
F123MENDATICA                                         IM18025G2CD
F125MENDICINO                                         CS87040T3DK
F126MENFI                                             AG92013U2AX
F127MENTANA                                           RM00013M1CV
F130MEOLO                                             VE30020D1BC
F132MERANO                                            BZ39012E2DX
F132MERAN                                             BZ39012E2DX
F134MERCALLO                                          VA21020C9FT
F135MERCATELLO SUL METAURO                            PS61036K4BH
F136MERCATINO CONCA                                   PS61013K4BI
F138MERCATO SAN SEVERINO                              SA00000Q5CY
F139MERCATO SARACENO                                  FO47025H3AV
F140MERCENASCO                                        TO10010A1HL
F141MERCOGLIANO                                       AV83013Q2CA
F144MERETO DI TOMBA                                   UD33036F6DA
F145MERGO                                             AN60030K1AY
F147MERI'                                             ME98040U6CD
F148MERLARA                                           PD35040D3CD
F151MERONE                                            CO22046C4KR
F152MESAGNE                                           BR72023R2AJ
F153MESE                                              SO23020C8BW
F154MESENZANA                                         VA21030C9FU
F155MESERO                                            MI20010C1KW
F156MESOLA                                            FE44026H2AP
F158MESSINA                                           ME98100U6AA
F161MESTRINO                                          PD35035D3CE
F162META                                              NA80062Q1CB
F164MEUGLIANO                                         TO10080A1HM
F165MEZZAGO                                           MI20050C1KY
F168MEZZANA                                           TN38020E1IL
F170MEZZANA BIGLI                                     PV27030C7FI
F171MEZZANA RABATTONE                                 PV27030C7FJ
F172MEZZANE DI SOTTO                                  VR37030D6CH
F173MEZZANEGO                                         GE16046G1CH
F174MEZZANI                                           PR43055H5BB
F175MEZZANINO                                         PV27040C7FK
F176MEZZANO                                           TN38050E1IM
F181MEZZEGRA                                          CO22010C4KS
F182MEZZENILE                                         TO10070A1HN
F183MEZZOCORONA                                       TN38016E1IP
F184MEZZOJUSO                                         PA90030U1BX
F186MEZZOLDO                                          BG24010C2HI
F187MEZZOLOMBARDO                                     TN38017E1IR
F188MEZZOMERICO                                       NO28040A5HB
F190MIANE                                             TV31050D5BW
F191MIASINO                                           NO28010A5HC
F193MICIGLIANO                                        RI02010M4BQ
F194MIGGIANO                                          LE73035R4BV
F196MIGLIANICO                                        CH66010N2CD
F198MIGLIARINO                                        FE44027H2AQ
F199MIGLIARO                                          FE44020H2AR
F200MIGLIERINA                                        CZ88040T2DD
F201MIGLIONICO                                        MT75010S2AR
F202MIGNANEGO                                         GE16018G1CI
F203MIGNANO MONTE LUNGO                               CE81049Q4CN
F205MILANO                                            MI20100C1AA
F206MILAZZO                                           ME98057U6CE
E618MILENA                                            CL93010U3AH
F208MILIS                                             OR09070V4BC
F209MILITELLO IN VAL DI CATANIA                       CT95043U4BC
F210MILITELLO ROSMARINO                               ME98070U6CF
F213MILLESIMO                                         SV17017G4CB
F214MILO                                              CT95010U4BD
F216MILZANO                                           BS25020C3GU
F217MINEO                                             CT95044U4BE
F218MINERBE                                           VR37046D6CI
F219MINERBIO                                          BO40061H1BQ
F221MINERVINO DI LECCE                                LE73027R4BW
F220MINERVINO MURGE                                   BA70055R1BE
F223MINORI                                            SA84010Q5CZ
F224MINTURNO                                          LT04026M3AQ
F225MINUCCIANO                                        LU55034I5AT
F226MIOGLIA                                           SV17040G4CC
F229MIRA                                              VE30034D1BE
F230MIRABELLA ECLANO                                  AV83036Q2CC
F231MIRABELLA IMBACCARI                               CT95040U4BF
F235MIRABELLO                                         FE44043H2AS
F232MIRABELLO MONFERRATO                              AL15040A2FE
F233MIRABELLO SANNITICO                               CB86010P1BY
F238MIRADOLO TERME                                    PV27010C7FP
F239MIRANDA                                           IS86080P2BB
F240MIRANDOLA                                         MO41037H4AX
F241MIRANO                                            VE30035D1BF
F242MIRTO                                             ME98070U6CG
F243MISANO DI GERA D'ADDA                             BG24040C2HJ
F246MISILMERI                                         PA90036U1BY
F247MISINTO                                           MI20020C1LD
F249MISSANELLO                                        PZ85010S1CC
F250MISTERBIANCO                                      CT95045U4BG
F251MISTRETTA                                         ME98073U6CH
F254MOASCA                                            AT14050A3CP
F256MOCONESI                                          GE16047G1CJ
F257MODENA                                            MO41100H4AA
F258MODICA                                            RG97015U7AG
F259MODIGLIANA                                        FO47015H3AX
F261MODOLO                                            NU08010V2CB
F262MODUGNO                                           BA70026R1BF
F263MOENA                                             TN38035E1IT
F266MOGGIO UDINESE                                    UD33015F6DC
F267MOGLIA                                            MN46024C6BL
F268MOGLIANO                                          MC62010K3BA
F269MOGLIANO VENETO                                   TV31021D5BX
F270MOGORELLA                                         OR09020V4BD
F272MOGORO                                            OR09050V4BE
F274MOIANO                                            BN82010Q3BT
F275MOIMACCO                                          UD33040F6DD
F277MOIO ALCANTARA                                    ME98030U6CI
F276MOIO DE' CALVI                                    BG00000C2HK
F279MOIOLA                                            CN12010A4FH
F280MOLA DI BARI                                      BA70042R1BG
F281MOLARE                                            AL15074A2FF
F283MOLAZZANA                                         LU55020I5AU
F284MOLFETTA                                          BA70056R1BH
M255MOLINA ATERNO                                     AQ67020N1ES
F286MOLINA DI LEDRO                                   TN38060E1IV
F287MOLINARA                                          BN82020Q3BU
F288MOLINELLA                                         BO40062H1BR
F290MOLINI DI TRIORA                                  IM18010G2CG
F294MOLISE                                            CB86020P1BZ
F295MOLITERNO                                         PZ85047S1CD
F297MOLLIA                                            VC13023A6DX
F301MOLOCHIO                                          RC89010T1CJ
F305MOLTRASIO                                         CO22010C4KZ
F306MOLVENA                                           VI36060D7CP
F307MOLVENO                                           TN38018E1IX
F308MOMBALDONE                                        AT14050A3CQ
F309MOMBARCARO                                        CN12070A4FI
F310MOMBAROCCIO                                       PS61024K4BK
F311MOMBARUZZO                                        AT14046A3CR
F312MOMBASIGLIO                                       CN12070A4FJ
F315MOMBELLO DI TORINO                                TO10020A1HS
F313MOMBELLO MONFERRATO                               AL15020A2FJ
F316MOMBERCELLI                                       AT14047A3CS
F317MOMO                                              NO28015A5HF
F318MOMPANTERO                                        TO10059A1HT
F319MOMPEO                                            RI02040M4BR
F320MOMPERONE                                         AL15050A2FK
F322MONACILIONI                                       CB86040P1CA
F323MONALE                                            AT14013A3CT
F324MONASTERACE                                       RC89040T1CK
F325MONASTERO BORMIDA                                 AT14058A3CU
F327MONASTERO DI LANZO                                TO10070A1HU
F326MONASTERO DI VASCO                                CN12080A4FK
F329MONASTEROLO CASOTTO                               CN12080A4FL
